SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,722 Richbrook Dr,Claremont,CA,91711,996000,4,2.0,683 - Claremont,2026,9779,1956,31,492,,Active,,,https://www.redfin.com/CA/Claremont/722-W-Richbrook-Dr-91711/home/7909471,CRMLS,P1-9069,N,Y,34.1054486,-117.7373144
MLS Listing,,Mobile/Manufactured Home,3800 Bradford St #64,La Verne,CA,91750,339500,2,2.0,684 - La Verne,1571,,2013,31,216,,Contingent,,,https://www.redfin.com/CA/La-Verne/3800-Bradford-St-91750/unit-64/home/179062959,CRMLS,CV22058653,N,Y,34.1109618,-117.7519805
MLS Listing,,Single Family Residential,207 E Blue Mountain Way,Claremont,CA,91711,899000,3,2.0,683 - Claremont,1593,10952,1978,32,564,,Contingent,,,https://www.redfin.com/CA/Claremont/207-E-Blue-Mountain-Way-91711/home/8046060,CRMLS,CV22034842,N,Y,34.1212623,-117.7133745
PAST SALE,March-2-2018,Single Family Residential,625 California Dr,Claremont,CA,91711,988800,4,2.0,683 - Claremont,1836,8873,1957,1,539,,Pending,,,https://www.redfin.com/CA/Claremont/625-California-Dr-91711/home/7887146,CRMLS,CV22075829,N,Y,34.1004707,-117.7328016
PAST SALE,August-27-2018,Single Family Residential,265 W Sonora Pl,Claremont,CA,91711,1285000,4,2.0,683 - Claremont,2389,12687,1968,16,538,,Pending,,,https://www.redfin.com/CA/Claremont/265-Sonora-Pl-91711/home/8044771,CRMLS,CV22073868,N,Y,34.1242004,-117.7194227
PAST SALE,September-27-1977,Single Family Residential,1461 Via Zurita St,Claremont,CA,91711,995000,2,2.0,683 - Claremont,1792,7203,1962,30,555,,Pending,,,https://www.redfin.com/CA/Claremont/1461-Via-Zurita-St-91711/home/7885158,CRMLS,CV22074748,N,Y,34.1102463,-117.7196289
MLS Listing,,Condo/Co-op,1072 W Baseline Rd,Claremont,CA,91711,675000,3,3.0,683 - Claremont,1800,49612,2019,33,375,256,Contingent,,,https://www.redfin.com/CA/Claremont/1072-W-Baseline-Rd-91711/home/169987964,CRMLS,CV22074377,N,Y,34.1214681,-117.733793
MLS Listing,,Vacant Land,86690250 baseline,Claremont,CA,91711,1498888,,,683 - Claremont,,218204,,33,,,Active,,,https://www.redfin.com/CA/Claremont/86690250-W-Baseline-Rd-91711/home/179017083,CRMLS,CV22058188,N,Y,34.122275,-117.747018
MLS Listing,,Vacant Land,0 E college Way,Claremont,CA,91711,998888,,,683 - Claremont,,48907,,33,,,Active,,,https://www.redfin.com/CA/Claremont/E-College-Way-91711/home/179017046,CRMLS,CV22058152,N,Y,34.118646,-117.747653
PAST SALE,May-17-2016,Single Family Residential,4238 La Junta Dr,Claremont,CA,91711,1195000,4,3.0,683 - Claremont,2630,9895,1957,15,454,,Pending,,,https://www.redfin.com/CA/Claremont/4238-La-Junta-Dr-91711/home/7882909,CRMLS,PW22073461,N,Y,34.1191363,-117.7444385
PAST SALE,April-13-2006,Single Family Residential,1883 Bridgeport Ave,Claremont,CA,91711,889900,3,2.0,683 - Claremont,1488,9931,1960,9,598,,Pending,,,https://www.redfin.com/CA/Claremont/1883-Bridgeport-Ave-91711/home/7883433,CRMLS,IV22072595,N,Y,34.1174536,-117.7310376
PAST SALE,April-22-2016,Single Family Residential,2583 Blanchard Pl,Upland,CA,91786,455000,3,2.0,690 - Upland,1068,2160,1929,1,426,,Pending,,,https://www.redfin.com/CA/Upland/2583-Blanchard-Pl-91786/home/3890932,CRMLS,FR22072721,N,Y,34.096543,-117.7034081
PAST SALE,May-31-2002,Condo/Co-op,655 S Indian Hill Blvd Unit C,Claremont,CA,91711,420000,2,2.0,683 - Claremont,1088,2270,1963,10,386,441,Pending,,,https://www.redfin.com/CA/Claremont/655-S-Indian-Hill-Blvd-91711/unit-C/home/7889238,CRMLS,CV22072057,N,Y,34.0838513,-117.7201902
PAST SALE,April-21-2011,Single Family Residential,951 Occidental Dr,Claremont,CA,91711,990900,4,2.0,683 - Claremont,1983,12061,1963,22,500,,Pending,,,https://www.redfin.com/CA/Claremont/951-Occidental-Dr-91711/home/7883439,CRMLS,IG22072303,N,Y,34.1196695,-117.7320685
PAST SALE,,Mobile/Manufactured Home,3800 Bradford St #73,La Verne,CA,91750,203000,2,2.0,684 - La Verne,1621,,1977,31,125,,Pending,,,https://www.redfin.com/CA/La-Verne/3800-Bradford-St-91750/unit-73/home/178988246,CRMLS,CV22066340,N,Y,34.1109618,-117.7519805
PAST SALE,December-10-2009,Single Family Residential,529 Redlands Ave,Claremont,CA,91711,1100000,4,2.5,683 - Claremont,2333,11943,1967,25,471,,Pending,,,https://www.redfin.com/CA/Claremont/529-Redlands-Ave-91711/home/8044896,CRMLS,CV22070943,N,Y,34.1252377,-117.722653
MLS Listing,,Single Family Residential,4143 Las Casas Ave,Claremont,CA,91711,999900,4,3.0,683 - Claremont,2508,10655,1962,18,399,,Contingent,,,https://www.redfin.com/CA/Claremont/4143-Las-Casas-Ave-91711/home/7882772,CRMLS,OC22070515,N,Y,34.1175827,-117.7477599
PAST SALE,February-28-2008,Condo/Co-op,1417 Ledgestone Ln,Pomona,CA,91767,558000,3,3.0,687 - Pomona,1618,46109,2007,1,345,315,Pending,,,https://www.redfin.com/CA/Pomona/1417-Ledgestone-Ln-91767/home/12290013,CRMLS,TR22062152,N,Y,34.0792545,-117.7212012
PAST SALE,November-21-1996,Single Family Residential,1855 Elaine St,Pomona,CA,91767,475000,2,1.0,687 - Pomona,914,7223,1950,42,520,,Pending,,,https://www.redfin.com/CA/Pomona/1855-Elaine-St-91767/home/7892932,CRMLS,MB22066771,N,Y,34.0789148,-117.7136838
PAST SALE,September-4-1986,Multi-Family (2-4 Unit),353 W 6th St,Claremont,CA,91711,1395000,5,4.0,683 - Claremont,3000,8486,1906,27,465,,Pending,,,https://www.redfin.com/CA/Claremont/353-W-6th-St-91711/home/7886554,CRMLS,CV22064494,N,Y,34.1000931,-117.7196289
PAST SALE,December-22-2020,Townhouse,590 Boulder Cir,Claremont,CA,91711,699000,4,4.0,683 - Claremont,1960,19276,2020,27,357,300,Pending,,,https://www.redfin.com/CA/Claremont/590-Boulder-Cir-91711/home/173286115,CRMLS,CV22063515,N,Y,34.120819,-117.723803
PAST SALE,March-26-2014,Single Family Residential,256 Andover Dr,Claremont,CA,91711,1049000,4,2.0,683 - Claremont,1934,11099,1978,1,542,,Pending,,,https://www.redfin.com/CA/Claremont/256-Andover-Dr-91711/home/8046606,CRMLS,CV22063274,N,Y,34.121926,-117.7127101
PAST SALE,,Mobile/Manufactured Home,3800 Bradford #292,La Verne,CA,91750,180000,2,2.0,684 - La Verne,1680,,1976,29,107,,Pending,,,https://www.redfin.com/CA/La-Verne/3800-Bradford-St-91750/unit-292/home/178781949,CRMLS,TR22058537,N,Y,34.1109618,-117.7519805
PAST SALE,January-9-1967,Single Family Residential,220 E SAN JOSE Ave E,Claremont,CA,91711,738888,2,2.0,683 - Claremont,1293,9750,1947,24,571,,Pending,,,https://www.redfin.com/CA/Claremont/220-E-San-Jose-Ave-91711/home/7888377,CRMLS,CV22058413,N,Y,34.0829048,-117.7119311
PAST SALE,June-30-1993,Single Family Residential,348 N Mountain Ave,Claremont,CA,91711,649999,2,2.0,683 - Claremont,973,8196,1962,13,668,,Pending,,,https://www.redfin.com/CA/Claremont/348-N-Mountain-Ave-91711/home/7886952,CRMLS,CV22058963,N,Y,34.0970402,-117.7287697
PAST SALE,September-26-2003,Single Family Residential,2667 Sweetbriar Dr,Claremont,CA,91711,1100000,4,3.0,683 - Claremont,2623,10813,1976,51,419,,Pending,,,https://www.redfin.com/CA/Claremont/2667-Sweetbriar-Dr-91711/home/8046233,CRMLS,CV22056797,N,Y,34.1323615,-117.7155739
MLS Listing,,Single Family Residential,967 Deep Springs Dr,Claremont,CA,91711,1780000,4,3.0,683 - Claremont,3830,24787,1987,58,465,95,Active,,,https://www.redfin.com/CA/Claremont/967-Deep-Springs-Dr-91711/home/8047093,CRMLS,WS22047334,N,Y,34.1430587,-117.6993527
MLS Listing,,Single Family Residential,2030 Brentwood Pl,Claremont,CA,91711,1050000,4,2.5,683 - Claremont,2020,14613,2022,52,520,,Active,,,https://www.redfin.com/CA/Claremont/2030-Brentwood-PL-91711/home/178691165,CRMLS,DW22054595,N,Y,34.121071,-117.740035
MLS Listing,,Single Family Residential,2020 Brentwood Pl,Claremont,CA,91711,1050000,4,2.5,683 - Claremont,2020,14613,2022,52,520,,Active,,,https://www.redfin.com/CA/Claremont/2020-Brentwood-PL-91711/home/178691125,CRMLS,DW22054581,N,Y,34.121247,-117.740191
PAST SALE,March-29-1977,Condo/Co-op,653 S Indian Hill Blvd Unit D,Claremont,CA,91711,465000,2,2.0,683 - Claremont,1088,2447,1963,7,427,441,Pending,,,https://www.redfin.com/CA/Claremont/653-S-Indian-Hill-Blvd-91711/unit-D/home/7889241,CRMLS,CV22052531,N,Y,34.0838786,-117.7196081
MLS Listing,,Single Family Residential,2010 Brentwood Pl,Claremont,CA,91711,1050000,4,2.5,683 - Claremont,2020,14613,2022,52,520,,Active,,,https://www.redfin.com/CA/Claremont/2010-Brentwood-PL-91711/home/177882322,CRMLS,DW22047603,N,Y,34.121378,-117.740394
MLS Listing,,Single Family Residential,1498 Marjorie Ave,Claremont,CA,91711,732500,2,2.0,683 - Claremont,1407,4755,1977,55,521,162,Active,,,https://www.redfin.com/CA/Claremont/1498-Marjorie-Ave-91711/home/7885751,CRMLS,OC22053907,N,Y,34.1101702,-117.7035685
PAST SALE,November-22-2019,Single Family Residential,3777 Williams Ave,La Verne,CA,91750,849000,4,2.0,684 - La Verne,1529,10831,1902,9,555,,Pending,,,https://www.redfin.com/CA/La-Verne/3777-Williams-Ave-91750/home/8180241,CRMLS,AR22052188,N,Y,34.1129254,-117.7510584
PAST SALE,September-1-2017,Single Family Residential,2493 Bruin Pl,Upland,CA,91786,728000,4,2.5,690 - Upland,1845,2287,2013,57,395,231,Pending,,,https://www.redfin.com/CA/Upland/2493-Bruin-Pl-91786/home/52046875,CRMLS,CV22047710,N,Y,34.0993287,-117.7023542
